ts	tag	url	leader	alerts_processed	sink_q	sink_drops	verdict_n	v_p50	v_p95	v_p99	notify_n	n_p50	n_p95	n_p99	pg_conn	redis_alert_kb	redis_cache_kb	sse
1789187092.417728300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1147472	1011720	NA
1789187101.956081500	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1147472	1011720	NA
1789187111.478320000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1147472	1011720	NA
1789187120.969051200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1147472	1011720	NA
1789187130.458497700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187139.925281700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187149.438617600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187159.004913400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187168.505966900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187178.022473600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187187.522980900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187197.044348600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187206.563423100	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187216.015443000	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187225.487145400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187234.989260800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187244.474301300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187253.956130200	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187263.428476300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187272.930329300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187282.451885400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187291.959728500	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187301.442002800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187310.974123800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	1147472	1011720	NA
1789187320.479795400	m1-ladder	http://127.0.0.1:8081	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2	1145024	1011720	NA
1789187332.013592900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1167944	1011720	NA
1789187343.621431500	m1-ladder	http://127.0.0.1:8081	1	200	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	1243464	1011720	NA
1789187354.156155600	m1-ladder	http://127.0.0.1:8081	1	200	0	0	200	0.5587269	0.5587269	0.5587269	0	NaN	NaN	NaN	5	1222992	1011720	NA
1789187363.625567200	m1-ladder	http://127.0.0.1:8081	1	200	0	0	200	0.5587269	0.5587269	0.5587269	0	NaN	NaN	NaN	5	1222992	1011720	NA
1789187373.094511000	m1-ladder	http://127.0.0.1:8081	1	200	0	0	200	0.5587269	0.5587269	0.5587269	0	NaN	NaN	NaN	5	1222992	1011720	NA
1789187382.611620000	m1-ladder	http://127.0.0.1:8081	1	400	0	0	400	0.0488503	0.5587269	0.5587269	0	NaN	NaN	NaN	5	1232912	1011720	NA
1789187392.165739500	m1-ladder	http://127.0.0.1:8081	1	400	0	0	400	0.0488503	0.5587269	0.5587269	0	NaN	NaN	NaN	5	1232912	1011720	NA
1789187401.646355300	m1-ladder	http://127.0.0.1:8081	1	400	0	0	400	0.0488503	0.5587269	0.5587269	0	NaN	NaN	NaN	5	1232912	1011720	NA
1789187411.171499200	m1-ladder	http://127.0.0.1:8081	1	600	0	0	600	0.0517725	0.5587269	0.5587269	0	NaN	NaN	NaN	7	1236752	1011720	NA
1789187420.656658300	m1-ladder	http://127.0.0.1:8081	1	600	0	0	600	0.0517725	0.5587269	0.5587269	0	NaN	NaN	NaN	7	1236752	1011720	NA
1789187430.161450500	m1-ladder	http://127.0.0.1:8081	1	600	0	0	600	0.0517725	0.5587269	0.5587269	0	NaN	NaN	NaN	7	1236752	1011720	NA
1789187439.633246700	m1-ladder	http://127.0.0.1:8081	1	800	0	0	800	0.0517725	0.5587269	0.5587269	0	NaN	NaN	NaN	7	1239312	1011720	NA
1789187449.125894500	m1-ladder	http://127.0.0.1:8081	1	10	0	0	10	0.5602672	0.5602672	0.5602672	0	NaN	NaN	NaN	5	1245040	1011720	NA
1789187458.612484900	m1-ladder	http://127.0.0.1:8081	1	10	0	0	10	0.5602672	0.5602672	0.5602672	0	NaN	NaN	NaN	5	1245040	1011720	NA
